area,floorRange,typeOfSale,price,propertyType,typeOfArea,mktSegment,Year,region
75.0,01-05,New Sale,2025000,Condominium,Strata,RCR,2024,West
70.0,01-05,Sub Sale,1800000,Condominium,Strata,RCR,2024,Central
200.0,01-05,Resale,2730000,Condominium,Strata,OCR,2024,West
62.0,01-05,Resale,1360000,Condominium,Strata,RCR,2024,Central
166.0,01-05,Resale,2350000,Apartment,Strata,RCR,2023,West
60.0,21-25,Sub Sale,1830888,Apartment,Strata,RCR,2023,Central
71.0,01-05,Resale,1180888,Apartment,Strata,OCR,2024,West
350.2,Ground,Resale,7020000,Semi-detached,Land,RCR,2023,West
147.0,01-05,Resale,3230000,Condominium,Strata,RCR,2024,Central
176.0,01-05,Resale,2940000,Condominium,Strata,RCR,2024,West
253.0,01-05,Resale,8010000,Condominium,Strata,CCR,2024,Central
49.0,21-25,Resale,1055000,Apartment,Strata,CCR,2023,Central
145.0,06-10,Resale,2700000,Condominium,Strata,OCR,2024,West
238.7,Ground,Resale,7000000,Terrace,Land,CCR,2021,Central
37.0,26-30,Resale,920000,Apartment,Strata,CCR,2024,Central
202.0,06-10,Resale,4110000,Condominium,Strata,CCR,2023,Central
102.0,11-15,Resale,2040000,Apartment,Strata,RCR,2024,Central
114.0,01-05,Resale,1520000,Condominium,Strata,RCR,2019,West
208.1,Ground,Resale,4200000,Semi-detached,Land,RCR,2019,West
88.0,01-05,Sub Sale,2090000,Condominium,Strata,RCR,2024,West
126.0,01-05,Resale,2300000,Condominium,Strata,RCR,2024,West
300.3,Ground,Resale,4950000,Detached,Land,RCR,2024,West
102.0,16-20,Resale,2160000,Condominium,Strata,RCR,2023,Central
120.0,01-05,Resale,1975000,Condominium,Strata,RCR,2024,Central
302.5,Ground,Resale,4600000,Semi-detached,Land,OCR,2021,West
84.0,06-10,Resale,1123000,Condominium,Strata,OCR,2023,West
288.0,11-15,Resale,3550000,Apartment,Strata,RCR,2024,West
131.0,31-35,Resale,2430888,Condominium,Strata,RCR,2024,Central
91.0,01-05,New Sale,2411112,Condominium,Strata,RCR,2024,Central
164.0,06-10,Resale,2900000,Condominium,Strata,RCR,2024,Central
1276.8,Ground,Resale,12300000,Detached,Land,RCR,2020,West
131.0,06-10,Sub Sale,3280000,Apartment,Strata,RCR,2024,West
240.0,Ground,Resale,2750000,Strata Terrace,Strata,OCR,2022,West
115.0,01-05,Resale,2380000,Condominium,Strata,RCR,2024,Central
137.0,06-10,Resale,3070000,Condominium,Strata,RCR,2023,Central
321.0,Ground,Resale,2500000,Strata Terrace,Strata,RCR,2024,West
48.0,01-05,Resale,998000,Apartment,Strata,RCR,2023,West
127.0,01-05,Resale,1380000,Apartment,Strata,RCR,2020,West
39.0,06-10,Resale,770000,Apartment,Strata,RCR,2023,Central
47.0,01-05,Resale,928000,Apartment,Strata,OCR,2023,West
133.0,26-30,Sub Sale,3680000,Apartment,Strata,RCR,2024,Central
252.1,Ground,Resale,4500000,Terrace,Land,RCR,2024,West
30.0,01-05,Resale,685000,Apartment,Strata,RCR,2024,West
199.2,Ground,Resale,3779000,Terrace,Land,RCR,2022,West
108.0,01-05,Resale,1160000,Condominium,Strata,OCR,2024,West
49.0,06-10,Resale,1120000,Apartment,Strata,RCR,2024,Central
123.0,01-05,Resale,2460000,Condominium,Strata,RCR,2024,Central
67.0,01-05,Resale,1330000,Apartment,Strata,RCR,2023,West
88.0,01-05,Resale,1510000,Apartment,Strata,RCR,2023,West
100.0,01-05,Resale,6130000,Apartment,Strata,RCR,2022,Central
112.0,11-15,Resale,1950000,Condominium,Strata,RCR,2024,Central
