area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
148,01-05,1,0523,1,4375800,Condominium,10,Strata,Freehold,CCR
163.4,-,1,0123,3,3330000,Terrace,19,Land,999 yrs lease commencing from 1883,OCR
131,06-10,1,1023,3,3400000,Condominium,09,Strata,Freehold,CCR
176,-,1,0921,3,2270000,Strata Terrace,15,Strata,Freehold,OCR
174.3,-,1,0722,3,3180000,Terrace,19,Land,Freehold,OCR
3374,01-05,31,0122,3,70300000,Apartment,05,Strata,Freehold,RCR
87,01-05,1,0423,3,1480000,Apartment,15,Strata,Freehold,RCR
104,01-05,1,0621,3,1680000,Apartment,11,Strata,Freehold,CCR
43,06-10,1,0822,3,700000,Apartment,14,Strata,Freehold,RCR
102,06-10,1,0822,3,2200000,Apartment,10,Strata,Freehold,CCR
386.7,-,1,0220,3,6100000,Semi-detached,10,Land,Freehold,CCR
86,01-05,1,0423,3,1350000,Apartment,10,Strata,Freehold,CCR
309.1,-,1,1220,3,2770000,Semi-detached,17,Land,Freehold,OCR
84,11-15,1,0224,1,1920000,Apartment,16,Strata,99 yrs lease commencing from 2021,OCR
292.9,-,1,1121,3,3500000,Terrace,14,Land,Freehold,OCR
104,01-05,1,0623,3,1150000,Executive Condominium,20,Strata,99 yrs lease commencing from 2001,OCR
102,01-05,1,0522,3,1408000,Apartment,08,Strata,Freehold,RCR
158.4,-,1,0622,3,3080000,Terrace,19,Land,Freehold,OCR
239,-,1,0424,3,3000000,Strata Terrace,19,Strata,Freehold,OCR
348.9,-,1,0422,3,4818000,Semi-detached,14,Land,Freehold,OCR
75,01-05,1,1123,3,1150000,Condominium,15,Strata,99 yrs lease commencing from 1993,RCR
41,16-20,1,0424,3,1000000,Apartment,02,Strata,Freehold,RCR
105,01-05,1,0321,3,1200000,Apartment,19,Strata,Freehold,OCR
143,06-10,1,0923,3,1600000,Apartment,21,Strata,99 yrs lease commencing from 1976,RCR
92,01-05,1,1219,3,1650000,Apartment,09,Strata,Freehold,CCR
528.5,-,1,0323,3,14880000,Detached,11,Land,Freehold,CCR
455.6,-,1,1221,3,7888000,Detached,15,Land,Freehold,OCR
403.7,-,1,0921,3,5328000,Semi-detached,05,Land,Freehold,RCR
515,B1-B5,1,0523,3,7800000,Condominium,05,Strata,Freehold,RCR
85,01-05,1,0921,3,1258000,Apartment,15,Strata,Freehold,OCR
452.6,-,1,0223,3,4206500,Terrace,16,Land,Freehold,OCR
105,01-05,1,0421,3,1280000,Apartment,19,Strata,Freehold,OCR
103,01-05,1,1023,3,1728000,Apartment,15,Strata,Freehold,OCR
197,16-20,1,0522,3,5400000,Condominium,09,Strata,Freehold,CCR
126,06-10,1,0923,3,2200000,Condominium,20,Strata,99 yrs lease commencing from 2010,RCR
253,-,1,0222,3,2550000,Strata Terrace,19,Strata,999 yrs lease commencing from 1884,OCR
81,01-05,1,0623,3,1590000,Apartment,20,Strata,Freehold,OCR
124,01-05,1,0623,1,1803000,Executive Condominium,19,Strata,99 yrs lease commencing from 2018,OCR
170,11-15,1,1123,3,3500000,Condominium,14,Strata,99 yrs lease commencing from 2007,RCR
105,16-20,1,0321,3,1228000,Apartment,12,Strata,Freehold,RCR
91,01-05,1,1122,3,1450000,Apartment,11,Strata,Freehold,CCR
464.4,-,1,1023,3,7680000,Detached,14,Land,Freehold,OCR
92,06-10,1,1023,3,1363000,Condominium,19,Strata,99 yrs lease commencing from 2007,OCR
32,01-05,1,0823,3,638000,Apartment,14,Strata,Freehold,RCR
38,01-05,1,0623,3,635000,Apartment,17,Strata,946 yrs lease commencing from 1937,OCR
244,01-05,1,0324,3,5000000,Apartment,10,Strata,Freehold,CCR
97,06-10,1,0523,3,2880000,Condominium,10,Strata,Freehold,CCR
477,-,1,1022,3,3670000,Strata Terrace,19,Strata,Freehold,OCR
157.6,-,1,0922,3,3500000,Terrace,14,Land,Freehold,OCR
65,01-05,1,0623,3,1485000,Condominium,09,Strata,99 yrs lease commencing from 2013,CCR
76,01-05,1,0221,3,1095000,Apartment,15,Strata,Freehold,OCR
164,06-10,1,0521,3,3015000,Condominium,10,Strata,Freehold,CCR
510,01-05,4,0123,3,6280000,Apartment,19,Strata,Freehold,OCR
154,01-05,1,0622,3,2475000,Apartment,15,Strata,Freehold,RCR
782,06-10,5,0221,3,23000000,Apartment,09,Strata,999 yrs lease commencing from 1841,CCR
133.3,-,1,0222,3,3550000,Terrace,15,Land,Freehold,OCR
168.2,-,1,0323,3,3720000,Terrace,14,Land,Freehold,OCR
127,01-05,1,0322,3,1720000,Condominium,10,Strata,Freehold,CCR
101,01-05,1,0424,3,1420000,Condominium,19,Strata,99 yrs lease commencing from 2011,OCR
279.8,-,1,0421,3,3500000,Semi-detached,13,Land,Freehold,RCR
82,01-05,1,0424,3,1280000,Condominium,20,Strata,99 yrs lease commencing from 1997,RCR
113,06-10,1,0622,3,2100000,Condominium,16,Strata,Freehold,OCR
113,01-05,1,0123,3,1500000,Apartment,19,Strata,999 yrs lease commencing from 1876,OCR
136,01-05,1,1019,3,1715000,Apartment,11,Strata,999 yrs lease commencing from 1966,CCR
151.9,-,1,0523,3,3500000,Terrace,19,Land,Freehold,OCR
164,-,1,1120,3,2480000,Terrace,19,Land,Freehold,OCR
84,16-20,1,0923,3,1650000,Apartment,13,Strata,Freehold,RCR
156.3,-,1,0622,3,3850000,Terrace,16,Land,Freehold,OCR
226.9,-,1,0923,3,5300000,Terrace,15,Land,Freehold,RCR
397.6,-,1,0723,3,5550000,Semi-detached,20,Land,Freehold,RCR
109,01-05,1,0321,3,1288000,Apartment,15,Strata,Freehold,OCR
64,01-05,1,0423,3,830000,Apartment,13,Strata,Freehold,OCR
2038.3,01-05,1,0322,3,86499999,Apartment,12,Land,Freehold,RCR
305,-,1,0223,3,3090000,Strata Terrace,19,Strata,Freehold,OCR
350,31-35,1,0223,3,20234000,Apartment,09,Strata,Freehold,CCR
514,-,1,0521,3,3180000,Strata Detached,13,Strata,Freehold,OCR
182.5,-,1,0421,3,3880000,Terrace,21,Land,Freehold,RCR
81,01-05,1,1022,3,1388000,Apartment,15,Strata,Freehold,RCR
163.9,-,1,1221,3,3328888,Terrace,15,Land,Freehold,OCR
309.7,-,1,0823,3,4800000,Semi-detached,16,Land,Freehold,OCR
356,-,1,0223,1,7600000,Semi-detached,20,Land,Freehold,RCR
220.7,-,1,0621,3,5200000,Terrace,11,Land,Freehold,CCR
331.8,-,1,0521,3,2700000,Semi-detached,17,Land,Freehold,OCR
156,21-25,1,0424,3,2680000,Apartment,05,Strata,99 yrs lease commencing from 2005,RCR
180,01-05,1,0723,3,3280000,Condominium,05,Strata,Freehold,RCR
388.9,-,1,1022,3,7900000,Semi-detached,19,Land,Freehold,OCR
207,01-05,1,0523,3,4000000,Condominium,10,Strata,Freehold,CCR
113,11-15,1,1121,3,2188000,Apartment,09,Strata,Freehold,CCR
88,21-25,1,0623,3,2900000,Apartment,09,Strata,Freehold,CCR
377.8,-,1,0223,3,6050000,Semi-detached,15,Land,Freehold,OCR
40,01-05,1,0822,3,652000,Apartment,19,Strata,Freehold,OCR
1026.9,-,1,0423,3,13888000,Detached,21,Land,Freehold,OCR
566,01-05,1,0623,1,30764600,Condominium,10,Strata,Freehold,CCR
104,11-15,1,1123,3,2050000,Condominium,12,Strata,99 yrs lease commencing from 2008,RCR
421.1,-,1,0221,3,7700000,Semi-detached,10,Land,999 yrs lease commencing from 1885,CCR
232,11-15,1,0424,3,4920000,Condominium,15,Strata,99 yrs lease commencing from 2007,RCR
142,01-05,1,0324,3,1950000,Apartment,15,Strata,Freehold,RCR
290.4,-,1,0721,3,3300000,Terrace,14,Land,Freehold,OCR
