area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
117,11-15,1,1123,3,1865000,Apartment,12,Strata,Freehold,RCR
100,01-05,1,1021,3,1100000,Apartment,14,Strata,Freehold,RCR
822.7,-,1,1121,3,2575000,Detached,15,Land,99 yrs lease commencing from 1950,RCR
116.3,-,1,1219,3,2500000,Terrace,15,Land,Freehold,RCR
83,06-10,1,0324,3,1620000,Apartment,12,Strata,Freehold,RCR
116,01-05,1,1221,3,1530000,Apartment,19,Strata,Freehold,OCR
63,01-05,1,0624,3,1080000,Condominium,16,Strata,99 yrs lease commencing from 2013,OCR
349.6,-,1,0719,3,3668000,Detached,20,Land,Freehold,RCR
171.6,-,1,0521,3,3200000,Terrace,20,Land,Freehold,RCR
269.2,-,1,1121,3,4300000,Terrace,15,Land,Freehold,RCR
477,01-05,1,0723,3,7500000,Condominium,11,Strata,Freehold,CCR
57,01-05,1,1223,3,978000,Apartment,14,Strata,Freehold,RCR
100,01-05,1,0223,3,1300000,Apartment,15,Strata,Freehold,RCR
88,11-15,1,0524,3,1800000,Condominium,03,Strata,99 yrs lease commencing from 2008,RCR
110,01-05,1,1122,3,980000,Apartment,14,Strata,Freehold,RCR
167.9,-,1,0723,3,5000000,Terrace,10,Land,999 yrs lease commencing from 1885,CCR
108,16-20,1,0224,3,2200000,Condominium,19,Strata,99 yrs lease commencing from 2014,OCR
102,01-05,1,0623,3,1615000,Apartment,14,Strata,Freehold,OCR
108,06-10,1,0723,3,1690000,Apartment,11,Strata,Freehold,CCR
103,01-05,1,0123,3,1470000,Apartment,15,Strata,Freehold,OCR
106,01-05,1,1221,3,1680000,Apartment,15,Strata,Freehold,RCR
427,-,1,0523,3,5100000,Strata Semi-detached,10,Strata,Freehold,CCR
241.9,-,1,0522,3,3680000,Terrace,16,Land,999 yrs lease commencing from 1878,OCR
1079.1,-,1,0321,3,15880000,Detached,21,Land,999 yrs lease commencing from 1879,RCR
194,01-05,1,0324,3,3660000,Condominium,10,Strata,99 yrs lease commencing from 1995,CCR
635,-,1,0224,3,12250000,Detached,14,Land,Freehold,RCR
267.3,-,1,0323,3,6500000,Terrace,10,Land,Freehold,CCR
358.9,-,1,0423,3,5070000,Detached,14,Land,Freehold,OCR
269.6,-,1,1119,3,4700000,Semi-detached,11,Land,Freehold,CCR
187,01-05,1,0823,3,4325000,Condominium,09,Strata,Freehold,CCR
155,01-05,1,1021,3,2000000,Apartment,19,Strata,Freehold,OCR
98,01-05,1,0523,3,2080000,Apartment,09,Strata,929 yrs lease commencing from 1953,CCR
322.5,-,1,1020,3,4950000,Semi-detached,16,Land,Freehold,OCR
248,01-05,1,1122,3,5180000,Condominium,11,Strata,Freehold,CCR
411,-,1,1121,3,2920000,Strata Terrace,15,Strata,Freehold,OCR
529,-,1,1020,3,4600000,Semi-detached,16,Land,Freehold,OCR
154,01-05,1,0221,3,2450000,Apartment,10,Strata,Freehold,CCR
493,-,1,0421,3,2950000,Strata Detached,13,Strata,Freehold,OCR
90,01-05,1,0323,1,2047000,Apartment,15,Strata,Freehold,OCR
207.9,-,1,0420,3,3210000,Terrace,15,Land,Freehold,RCR
469.6,-,1,0223,3,17080000,Detached,10,Land,999 yrs lease commencing from 1875,CCR
48,01-05,1,1222,3,780000,Apartment,15,Strata,Freehold,RCR
103,01-05,1,0723,3,1608000,Apartment,15,Strata,Freehold,OCR
155,01-05,1,0723,3,3350000,Condominium,10,Strata,Freehold,CCR
2086.8,-,1,0621,3,30000000,Detached,10,Land,Freehold,CCR
1892.3,-,1,0320,3,40000000,Detached,10,Land,Freehold,CCR
422,-,1,0122,3,2960000,Strata Semi-detached,19,Strata,999 yrs lease commencing from 1878,OCR
139,01-05,1,0324,3,2310000,Condominium,15,Strata,Freehold,RCR
159.9,-,1,0721,3,1800000,Terrace,16,Land,99 yrs lease commencing from 1994,OCR
262.2,-,1,0623,3,4300000,Terrace,19,Land,999 yrs lease commencing from 1876,OCR
175,01-05,1,0223,3,2188000,Condominium,05,Strata,Freehold,RCR
200.4,-,1,0623,3,4598000,Terrace,15,Land,Freehold,OCR
937.4,-,1,0919,3,9500000,Detached,11,Land,Freehold,CCR
105,11-15,1,0523,3,2300000,Apartment,11,Strata,Freehold,CCR
269,-,1,0921,3,3330000,Strata Semi-detached,11,Strata,Freehold,CCR
371.4,-,1,0821,3,8860000,Semi-detached,21,Land,999 yrs lease commencing from 1879,RCR
82,01-05,1,0822,3,1250000,Apartment,15,Strata,Freehold,OCR
201.8,-,1,0421,3,2550000,Terrace,19,Land,Freehold,OCR
309.1,-,1,0821,3,735000,Semi-detached,16,Land,70 yrs lease commencing from 1964,OCR
93,06-10,1,0921,3,1950000,Apartment,09,Strata,Freehold,CCR
50,11-15,1,0422,1,1711538,Apartment,09,Strata,Freehold,CCR
204.8,-,1,0820,3,3150000,Terrace,15,Land,Freehold,OCR
159,11-15,1,0423,3,2950000,Apartment,11,Strata,Freehold,CCR
135,01-05,1,0423,2,2500000,Apartment,15,Strata,Freehold,OCR
183,-,1,1121,3,2260000,Condominium,13,Strata,Freehold,OCR
85,01-05,1,0723,3,1095000,Condominium,17,Strata,99 yrs lease commencing from 2010,OCR
1736.3,-,1,1220,3,32000000,Detached,10,Land,Freehold,CCR
38,01-05,1,0324,3,979000,Condominium,10,Strata,Freehold,CCR
282.2,-,1,0521,3,4208000,Terrace,15,Land,Freehold,OCR
82.1,-,1,0424,3,2800000,Terrace,13,Land,Freehold,RCR
424,01-05,1,0822,3,15150000,Condominium,10,Strata,Freehold,CCR
340,-,1,1222,3,5850000,Terrace,15,Land,Freehold,OCR
199,01-05,1,0723,3,4080000,Condominium,09,Strata,Freehold,CCR
141,11-15,1,1223,3,3800000,Condominium,11,Strata,Freehold,CCR
113,01-05,1,0823,3,1260000,Apartment,14,Strata,99 yrs lease commencing from 2001,RCR
250.6,-,1,0624,3,4650000,Terrace,15,Land,Freehold,OCR
77,01-05,1,0422,3,1035000,Apartment,15,Strata,Freehold,OCR
269,-,1,0721,3,3950000,Terrace,21,Land,Freehold,RCR
53,01-05,1,0324,3,980000,Condominium,14,Strata,99 yrs lease commencing from 2014,RCR
357.6,-,1,0424,3,8000000,Semi-detached,10,Land,Freehold,CCR
168,01-05,1,0123,3,2440000,Apartment,15,Strata,Freehold,RCR
106,01-05,1,0224,3,1710000,Apartment,08,Strata,Freehold,RCR
201.9,-,1,1120,3,3580000,Semi-detached,05,Land,Freehold,RCR
83,01-05,1,0623,3,2188000,Apartment,10,Strata,Freehold,CCR
130,06-10,1,0821,3,2050000,Apartment,11,Strata,Freehold,CCR
64,26-30,1,1023,3,1298000,Condominium,11,Strata,Freehold,CCR
61,06-10,1,0324,3,960000,Apartment,21,Strata,60 yrs lease commencing from 2013,RCR
79,11-15,1,0623,3,1846000,Apartment,11,Strata,Freehold,CCR
129.7,-,1,0621,3,1900000,Terrace,19,Land,999 yrs lease commencing from 1878,OCR
172,01-05,1,1122,3,2128800,Apartment,15,Strata,Freehold,OCR
387,16-20,1,1023,3,6700000,Condominium,15,Strata,Freehold,RCR
209,01-05,1,0523,3,5200000,Condominium,10,Strata,Freehold,CCR
158.8,-,1,0523,3,2620000,Terrace,19,Land,99 yrs lease commencing from 1994,OCR
292.5,-,1,1019,3,6400000,Semi-detached,10,Land,Freehold,CCR
228,01-05,1,0222,3,2160000,Apartment,21,Strata,Freehold,RCR
100.3,-,1,0321,3,2600000,Terrace,09,Land,99 yrs lease commencing from 1997,CCR
59,01-05,1,0424,3,906000,Apartment,19,Strata,999 yrs lease commencing from 1878,OCR
173,01-05,1,1023,3,2200000,Apartment,19,Strata,Freehold,OCR
82,06-10,1,0922,3,1400000,Apartment,08,Strata,Freehold,RCR
124,01-05,1,1123,3,1550000,Executive Condominium,18,Strata,99 yrs lease commencing from 2013,OCR
43,06-10,1,0623,3,880000,Apartment,10,Strata,Freehold,CCR
290.8,-,1,0920,3,4430000,Terrace,15,Land,Freehold,OCR
105,01-05,1,0323,3,1660000,Apartment,19,Strata,Freehold,OCR
89,06-10,1,0524,3,1505000,Condominium,21,Strata,99 yrs lease commencing from 1991,RCR
113,01-05,1,0922,3,2110000,Apartment,11,Strata,Freehold,CCR
262,-,1,0522,3,4000000,Strata Terrace,10,Strata,Freehold,CCR
42,01-05,1,0423,3,640000,Apartment,15,Strata,Freehold,OCR
68,01-05,1,0424,3,1107888,Condominium,14,Strata,Freehold,OCR
176,01-05,1,0723,3,3050000,Condominium,15,Strata,Freehold,OCR
96,01-05,1,0323,3,1650000,Apartment,08,Strata,Freehold,RCR
274,-,1,0621,3,4400000,Terrace,13,Land,Freehold,RCR
171,01-05,1,0323,3,1700000,Condominium,17,Strata,99 yrs lease commencing from 1982,OCR
129,01-05,1,0120,1,2560000,Apartment,10,Strata,Freehold,CCR
439.5,-,1,0721,3,6988888,Detached,13,Land,Freehold,OCR
134,01-05,1,0723,3,2830000,Condominium,10,Strata,999 yrs lease commencing from 1885,CCR
819.3,-,1,0523,3,20000000,Detached,04,Land,99 yrs lease commencing from 2007,CCR
157.8,01-05,1,0324,3,1888000,Apartment,14,Strata,9999 yrs lease commencing from 1960,RCR
116,01-05,1,0222,3,1700000,Apartment,14,Strata,Freehold,OCR
153.3,-,1,0322,3,6180000,Terrace,09,Land,Freehold,CCR
314,01-05,1,0423,3,3500000,Strata Terrace,11,Strata,99 yrs lease commencing from 2004,CCR
319.4,-,1,0723,3,6880000,Semi-detached,15,Land,Freehold,RCR
239,-,1,1020,3,1780000,Strata Terrace,14,Strata,Freehold,OCR
169.5,-,1,0120,3,3200000,Terrace,11,Land,Freehold,CCR
412.6,-,1,0524,3,7050000,Semi-detached,05,Land,Freehold,OCR
405.7,-,1,0322,3,8000000,Detached,19,Land,Freehold,OCR
142,01-05,1,0723,3,2400000,Condominium,21,Strata,999 yrs lease commencing from 1883,OCR
928.1,-,1,1121,3,13900000,Detached,11,Land,Freehold,CCR
171.3,-,1,0323,3,4200000,Terrace,20,Land,Freehold,RCR
39,01-05,1,0323,3,628000,Apartment,13,Strata,Freehold,OCR
225,-,1,1221,3,6650000,Semi-detached,10,Land,Freehold,CCR
59,26-30,1,1123,3,1440000,Apartment,03,Strata,99 yrs lease commencing from 2017,RCR
68,06-10,1,0922,3,888000,Apartment,14,Strata,Freehold,RCR
114,01-05,1,0723,3,1650000,Apartment,19,Strata,Freehold,OCR
52,01-05,1,0723,3,738000,Apartment,14,Strata,Freehold,RCR
137,01-05,1,0723,3,3200000,Condominium,11,Strata,Freehold,CCR
189,01-05,1,1221,3,1900000,Apartment,19,Strata,999 yrs lease commencing from 1886,OCR
379.1,-,1,1221,3,7900000,Semi-detached,10,Land,Freehold,CCR
47,16-20,1,0723,3,1120000,Apartment,09,Strata,Freehold,CCR
368.9,-,1,0521,3,7000000,Semi-detached,10,Land,999 yrs lease commencing from 1875,CCR
152,16-20,1,0723,3,3610000,Condominium,03,Strata,Freehold,RCR
129,01-05,1,1022,3,2200000,Apartment,11,Strata,Freehold,CCR
320.1,-,1,0121,3,5800000,Semi-detached,10,Land,999 yrs lease commencing from 1877,CCR
520.3,-,1,1121,3,8000000,Detached,20,Land,Freehold,RCR
232,11-15,1,1023,3,4400000,Apartment,15,Strata,Freehold,RCR
258.6,-,1,0723,3,6550000,Terrace,10,Land,Freehold,CCR
118,01-05,1,0423,1,3550000,Apartment,10,Strata,Freehold,CCR
52,06-10,1,1022,3,715000,Apartment,14,Strata,Freehold,RCR
114,01-05,1,0324,3,1600000,Condominium,18,Strata,99 yrs lease commencing from 2012,OCR
148,11-15,1,0623,3,2600000,Condominium,20,Strata,Freehold,RCR
61,01-05,1,0723,3,980000,Apartment,14,Strata,Freehold,OCR
118,01-05,1,0424,3,2010000,Apartment,15,Strata,Freehold,RCR
149.9,-,1,1220,3,1718000,Terrace,17,Land,99 yrs lease commencing from 1994,OCR
110,01-05,1,0623,3,1698888,Condominium,16,Strata,Freehold,OCR
147,01-05,1,0923,3,3250000,Condominium,09,Strata,999 yrs lease commencing from 1841,CCR
217,-,1,0723,3,4188000,Semi-detached,14,Land,Freehold,OCR
611.4,-,1,0723,3,5975000,Detached,17,Land,Freehold,OCR
113,01-05,1,0322,3,1608000,Apartment,15,Strata,Freehold,RCR
257.4,-,1,0521,3,3750000,Semi-detached,05,Land,Freehold,RCR
109,01-05,1,1123,3,2450000,Condominium,10,Strata,99 yrs lease commencing from 1997,CCR
493,-,1,0921,3,3399988,Strata Detached,13,Strata,Freehold,OCR
210,01-05,1,1223,3,4850000,Apartment,10,Strata,Freehold,CCR
173.9,-,1,0521,3,4800000,Terrace,10,Land,999 yrs lease commencing from 1876,CCR
919.6,-,1,0524,3,14081000,Detached,15,Land,Freehold,OCR
400.9,-,1,0324,3,9450000,Semi-detached,15,Land,Freehold,RCR
294,06-10,1,0320,3,8800000,Condominium,10,Strata,Freehold,CCR
394.7,-,1,0922,3,8600000,Semi-detached,15,Land,Freehold,RCR
116,06-10,1,0624,3,1380000,Condominium,19,Strata,99 yrs lease commencing from 2001,OCR
187.1,-,1,0424,3,3500000,Terrace,19,Land,Freehold,OCR
55,06-10,1,0423,3,950000,Apartment,12,Strata,Freehold,RCR
412,-,1,1121,3,6114000,Semi-detached,04,Land,Freehold,RCR
122,11-15,1,1123,3,3180000,Condominium,09,Strata,Freehold,CCR
113,01-05,1,0223,3,2580000,Condominium,15,Strata,Freehold,OCR
69,01-05,1,0723,3,1290000,Condominium,05,Strata,Freehold,OCR
101,06-10,1,0524,3,1850000,Condominium,15,Strata,99 yrs lease commencing from 1993,RCR
265.6,-,1,1021,3,4730000,Terrace,13,Land,Freehold,RCR
129,01-05,1,0223,3,1788000,Apartment,15,Strata,Freehold,RCR
107,01-05,1,0523,3,980000,Apartment,14,Strata,Freehold,RCR
109,01-05,1,0723,3,1520000,Condominium,10,Strata,Freehold,CCR
120,06-10,1,0623,3,2820000,Condominium,11,Strata,Freehold,CCR
437.9,-,1,0821,3,4080000,Semi-detached,16,Land,Freehold,OCR
114,06-10,1,1020,3,1380000,Apartment,09,Strata,999 yrs lease commencing from 1841,CCR
47,01-05,1,0624,3,880000,Condominium,19,Strata,99 yrs lease commencing from 2016,OCR
228.5,-,1,0224,3,4100000,Terrace,05,Land,Freehold,OCR
129,01-05,1,0723,3,1408000,Condominium,17,Strata,946 yrs lease commencing from 1938,OCR
102,01-05,1,0722,3,1800000,Apartment,15,Strata,Freehold,OCR
113,01-05,1,1223,3,2400000,Condominium,10,Strata,Freehold,CCR
366,-,1,0621,3,4380000,Semi-detached,17,Land,Freehold,OCR
220,01-05,1,1223,3,2050000,Condominium,17,Strata,99 yrs lease commencing from 2008,OCR
224,01-05,1,1022,3,2650000,Apartment,15,Strata,Freehold,OCR
400,-,1,0421,3,3000000,Strata Detached,15,Strata,Freehold,OCR
84,01-05,1,0922,3,1310000,Apartment,15,Strata,Freehold,OCR
454.9,-,1,0821,3,11880000,Semi-detached,10,Land,Freehold,CCR
138,01-05,1,0823,3,1500000,Apartment,19,Strata,Freehold,OCR
101,06-10,1,1123,3,1160000,Apartment,14,Strata,99 yrs lease commencing from 2000,RCR
153,21-25,1,0623,3,3215000,Condominium,15,Strata,Freehold,RCR
95,01-05,1,0522,3,1250000,Apartment,15,Strata,Freehold,OCR
178,16-20,1,0524,1,5211495,Apartment,21,Strata,99 yrs lease commencing from 2021,RCR
288,01-05,1,0821,3,5880000,Apartment,10,Strata,Freehold,CCR
451,-,1,0322,3,2750000,Strata Terrace,19,Strata,999 yrs lease commencing from 1886,OCR
106,01-05,1,0523,3,1350000,Condominium,14,Strata,Freehold,OCR
300.7,-,1,0921,3,4000000,Semi-detached,19,Land,Freehold,OCR
141,01-05,1,0623,3,2390000,Apartment,15,Strata,Freehold,RCR
51,06-10,1,0523,3,1250000,Apartment,09,Strata,99 yrs lease commencing from 2007,CCR
99,21-25,1,0723,3,2420000,Apartment,11,Strata,Freehold,CCR
90,21-25,1,0823,3,1748000,Apartment,07,Strata,99 yrs lease commencing from 2006,RCR
203,01-05,1,0621,3,3390000,Apartment,10,Strata,Freehold,CCR
1524.8,01-05,38,1119,3,26280000,Apartment,14,Land,Freehold,RCR
394.4,-,1,1121,3,3200000,Semi-detached,17,Land,Freehold,OCR
65,21-25,1,1023,3,1580000,Condominium,03,Strata,99 yrs lease commencing from 2013,RCR
51,11-15,1,0424,3,1050000,Apartment,10,Strata,Freehold,CCR
129,01-05,1,1120,3,1550000,Apartment,15,Strata,Freehold,RCR
119,06-10,1,0522,3,2600000,Apartment,11,Strata,Freehold,CCR
110,01-05,1,0623,3,1950000,Apartment,15,Strata,Freehold,RCR
152,01-05,1,1220,3,2318000,Apartment,11,Strata,Freehold,CCR
475,-,1,0721,3,4900000,Strata Detached,10,Strata,Freehold,CCR
153.9,-,1,0423,3,3220000,Terrace,19,Land,Freehold,OCR
83,11-15,1,0723,3,1290000,Condominium,16,Strata,99 yrs lease commencing from 2007,OCR
1390.5,-,1,1020,3,27200000,Detached,10,Land,Freehold,CCR
111,01-05,1,0423,3,1380000,Condominium,05,Strata,Freehold,RCR
106,01-05,1,0322,3,1200000,Apartment,15,Strata,Freehold,RCR
52,06-10,1,0623,3,1050000,Condominium,09,Strata,Freehold,CCR
162.2,-,1,0221,3,2750000,Terrace,15,Land,Freehold,OCR
188,-,1,0321,3,3200000,Terrace,16,Land,Freehold,OCR
146,01-05,1,0821,3,1600000,Apartment,15,Strata,Freehold,OCR
252,-,1,0821,3,2900000,Terrace,19,Land,999 yrs lease commencing from 1876,OCR
421.7,-,1,0922,3,5851000,Terrace,05,Land,Freehold,RCR
311,16-20,1,0422,3,6800000,Apartment,11,Strata,Freehold,CCR
478.1,-,1,0721,3,7900000,Detached,10,Land,999 yrs lease commencing from 1877,CCR
269.8,-,1,0424,3,4830000,Terrace,15,Land,Freehold,OCR
141,-,1,0323,3,1850000,Condominium,19,Strata,Freehold,OCR
93,01-05,1,1223,1,2720000,Apartment,11,Strata,Freehold,CCR
122,01-05,1,0424,1,3000000,Apartment,15,Strata,Freehold,RCR
544.2,-,1,0522,3,4750000,Detached,17,Land,Freehold,OCR
260,01-05,2,0720,3,1950000,Apartment,12,Strata,Freehold,RCR
179,-,1,1222,3,6165000,Terrace,10,Land,999 yrs lease commencing from 1875,CCR
352.8,-,1,1120,3,4900000,Terrace,20,Land,Freehold,RCR
99,06-10,1,0424,3,2080000,Apartment,09,Strata,Freehold,CCR
1417,-,1,0521,3,28328000,Detached,10,Land,999 yrs lease commencing from 1875,CCR
95,01-05,1,0622,3,1345000,Apartment,15,Strata,Freehold,RCR
235,-,1,0424,3,2140000,Strata Terrace,16,Strata,99 yrs lease commencing from 1995,OCR
85,01-05,1,0723,3,1528888,Apartment,13,Strata,Freehold,RCR
410,-,1,1021,3,3088888,Strata Detached,13,Strata,Freehold,RCR
84,01-05,1,0723,2,1210000,Condominium,17,Strata,99 yrs lease commencing from 2018,OCR
198.7,-,1,0622,3,3180000,Terrace,19,Land,Freehold,OCR
187,06-10,1,0723,3,5088000,Condominium,09,Strata,Freehold,CCR
152.4,-,1,1021,3,2660000,Terrace,05,Land,Freehold,OCR
158.2,-,1,0721,3,1550000,Terrace,08,Land,Freehold,RCR
497,-,1,0722,3,3288888,Strata Terrace,19,Strata,Freehold,OCR
577.3,-,1,0321,3,8880000,Detached,13,Land,Freehold,OCR
105,01-05,1,0122,3,2880000,Apartment,10,Strata,Freehold,CCR
298.3,-,1,0521,3,3608000,Terrace,19,Land,Freehold,OCR
197,16-20,1,0822,3,2680000,Apartment,12,Strata,Freehold,RCR
122,06-10,1,0922,3,2670000,Apartment,09,Strata,Freehold,CCR
120,11-15,1,0823,3,1840000,Apartment,14,Strata,Freehold,RCR
367,-,1,1123,3,1330000,Detached,12,Land,99 yrs lease commencing from 1949,RCR
100,01-05,1,1021,3,1290000,Apartment,19,Strata,999 yrs lease commencing from 1878,OCR
56,06-10,1,0623,3,1300000,Apartment,11,Strata,Freehold,CCR
93,01-05,1,1022,3,1388000,Apartment,11,Strata,Freehold,CCR
103,01-05,1,0821,3,1240000,Apartment,05,Strata,Freehold,RCR
398.3,-,1,1221,3,5800000,Detached,19,Land,Freehold,OCR
380.2,-,1,0321,3,4300000,Semi-detached,16,Land,Freehold,OCR
208.9,-,1,0624,3,4230000,Terrace,16,Land,Freehold,OCR
149,01-05,1,0123,3,3390000,Condominium,10,Strata,999 yrs lease commencing from 1875,CCR
88,06-10,1,0723,3,1285000,Apartment,12,Strata,Freehold,RCR
367,-,1,0623,3,3900000,Strata Semi-detached,20,Strata,Freehold,RCR
210.5,-,1,0622,3,4555888,Terrace,19,Land,Freehold,OCR
104,01-05,1,0724,3,2575000,Apartment,10,Strata,Freehold,CCR
125.5,-,1,0321,3,2500000,Terrace,19,Land,Freehold,OCR
175.5,-,1,0721,3,3300000,Terrace,19,Land,Freehold,OCR
277,01-05,1,0422,3,6000000,Apartment,11,Strata,Freehold,CCR
154,01-05,1,0123,3,2300000,Condominium,16,Strata,Freehold,OCR
90,11-15,1,1122,3,1910000,Apartment,15,Strata,Freehold,RCR
138.8,-,1,0521,3,2268000,Terrace,14,Land,Freehold,RCR
212.7,-,1,0521,3,3300000,Terrace,19,Land,Freehold,OCR
99,01-05,1,0523,3,2250000,Condominium,15,Strata,Freehold,RCR
113,01-05,1,0323,3,1600000,Condominium,05,Strata,Freehold,RCR
95,01-05,1,0423,3,1510000,Apartment,15,Strata,Freehold,OCR
92,01-05,1,1222,3,1480000,Apartment,15,Strata,Freehold,OCR
85,01-05,1,1223,2,1825000,Apartment,17,Strata,Freehold,OCR
327.9,-,1,1220,3,5900000,Semi-detached,20,Land,Freehold,RCR
116,01-05,1,0823,3,3050000,Condominium,10,Strata,Freehold,CCR
150,-,1,0723,3,2443888,Terrace,18,Land,99 yrs lease commencing from 1996,OCR
280,-,1,0522,1,9050000,Semi-detached,15,Land,Freehold,RCR
774.6,-,2,0723,3,6100000,Semi-detached,16,Land,Freehold,OCR
136,11-15,1,0623,3,2340000,Condominium,05,Strata,99 yrs lease commencing from 1996,RCR
754.3,-,1,0323,3,9250000,Detached,19,Land,Freehold,OCR
92,36-40,1,0723,3,1868000,Apartment,05,Strata,99 yrs lease commencing from 2016,OCR
140,01-05,1,0323,3,2700000,Apartment,09,Strata,Freehold,CCR
188.4,-,1,1120,3,3250000,Terrace,21,Land,Freehold,RCR
39,06-10,1,0424,3,820000,Apartment,12,Strata,Freehold,RCR
364.5,-,1,1123,3,11200000,Semi-detached,10,Land,Freehold,CCR
126.8,-,1,0821,3,5680000,Terrace,11,Land,Freehold,CCR
186,01-05,1,0722,3,2500000,Condominium,16,Strata,Freehold,OCR
43,06-10,1,0123,3,713888,Apartment,14,Strata,Freehold,RCR
114,01-05,1,1222,1,2598800,Condominium,19,Strata,Freehold,OCR
111,01-05,1,0721,3,1388000,Apartment,13,Strata,Freehold,RCR
222,-,1,0322,3,2248000,Strata Terrace,13,Strata,Freehold,OCR
119,01-05,1,0623,3,1750000,Apartment,13,Strata,Freehold,OCR
121.7,-,1,0922,3,2900000,Terrace,15,Land,Freehold,RCR
62,11-15,1,1023,2,1200000,Apartment,19,Strata,99 yrs lease commencing from 2018,OCR
171,01-05,1,0723,3,4215000,Condominium,10,Strata,Freehold,CCR
84,11-15,1,0923,2,1950000,Apartment,14,Strata,99 yrs lease commencing from 2018,RCR
63,01-05,1,0123,3,1380000,Apartment,09,Strata,Freehold,CCR
166.9,-,1,0921,3,3100000,Terrace,19,Land,Freehold,OCR
366.2,-,1,0923,3,4900000,Terrace,19,Land,Freehold,OCR
227,01-05,1,1121,3,2300000,Apartment,15,Strata,Freehold,OCR
79,06-10,1,0521,3,1870000,Apartment,10,Strata,Freehold,CCR
106,11-15,1,0423,3,2500000,Apartment,10,Strata,Freehold,CCR
151,06-10,1,0321,3,1758000,Apartment,12,Strata,Freehold,RCR
415.8,-,1,1121,3,8650000,Semi-detached,10,Land,Freehold,CCR
299.5,-,1,1021,3,4100000,Semi-detached,16,Land,Freehold,OCR
166,01-05,1,1023,3,1828000,Condominium,17,Strata,Freehold,OCR
123,01-05,1,1022,3,1800000,Apartment,15,Strata,Freehold,RCR
346,-,1,0923,3,4850000,Strata Terrace,10,Strata,Freehold,CCR
31,01-05,1,0623,3,650000,Apartment,11,Strata,Freehold,CCR
113,06-10,1,0523,3,1450000,Apartment,12,Strata,Freehold,RCR
44,06-10,1,0523,3,685000,Apartment,14,Strata,Freehold,RCR
56,01-05,1,0822,3,1690000,Condominium,10,Strata,Freehold,CCR
121,01-05,1,1022,3,900000,Apartment,14,Strata,Freehold,RCR
175.5,-,1,0223,3,4320000,Terrace,15,Land,Freehold,RCR
1745.8,-,2,0321,3,27800000,Detached,10,Land,Freehold,CCR
313.1,-,1,0723,3,4350000,Semi-detached,16,Land,Freehold,OCR
109,01-05,1,0323,3,1895000,Condominium,04,Strata,99 yrs lease commencing from 2004,CCR
253,-,1,0423,3,3128888,Strata Terrace,19,Strata,Freehold,OCR
241.9,-,1,0821,3,5800000,Terrace,11,Land,Freehold,CCR
2385.8,-,1,0123,3,55500000,Detached,15,Land,Freehold,RCR
129,-,1,0123,3,2700000,Condominium,11,Strata,Freehold,CCR
47,46-50,1,1023,3,1370000,Apartment,01,Strata,99 yrs lease commencing from 2011,CCR
80,01-05,1,0424,3,1670000,Condominium,08,Strata,Freehold,RCR
403.5,-,1,0921,3,7800000,Terrace,10,Land,999 yrs lease commencing from 1885,CCR
77,16-20,1,0524,1,2730000,Apartment,09,Strata,Freehold,CCR
42,06-10,1,0424,3,818000,Apartment,15,Strata,Freehold,RCR
83,01-05,1,0223,3,1250000,Apartment,12,Strata,Freehold,RCR
116,01-05,1,0622,3,1700000,Apartment,21,Strata,Freehold,RCR
182,06-10,1,0623,3,4900000,Apartment,10,Strata,999 yrs lease commencing from 1995,CCR
1413.2,-,4,1219,3,13300000,Semi-detached,16,Land,Freehold,OCR
182,06-10,1,0822,3,1850000,Apartment,12,Strata,Freehold,RCR
109,06-10,1,0721,3,1220000,Apartment,14,Strata,Freehold,OCR
206.4,-,1,0321,3,3560000,Semi-detached,16,Land,Freehold,OCR
100,01-05,1,1222,3,1730000,Apartment,20,Strata,Freehold,RCR
337,-,1,0322,3,3350000,Strata Semi-detached,11,Strata,Freehold,CCR
80,01-05,1,1022,3,1320000,Apartment,15,Strata,Freehold,OCR
445.8,-,1,0523,3,10680000,Detached,15,Land,Freehold,RCR
240.2,-,1,0921,3,6600000,Semi-detached,11,Land,Freehold,CCR
139,01-05,1,0524,3,2000000,Executive Condominium,19,Strata,99 yrs lease commencing from 2013,OCR
1201.2,-,1,0521,3,18101452,Detached,15,Land,Freehold,RCR
108,01-05,1,0124,3,1970000,Apartment,10,Strata,Freehold,CCR
177,01-05,1,0123,3,2400000,Apartment,16,Strata,Freehold,OCR
165,01-05,1,0420,3,1650000,Apartment,15,Strata,Freehold,RCR
170,11-15,1,0624,3,3480000,Condominium,09,Strata,Freehold,CCR
156,01-05,1,0323,3,2350000,Apartment,19,Strata,Freehold,OCR
1459.8,-,1,0821,3,19550000,Detached,21,Land,Freehold,RCR
133,06-10,1,0623,3,2165888,Apartment,12,Strata,Freehold,RCR
1051.1,-,1,0623,3,24000000,Detached,11,Land,Freehold,CCR
370,-,1,0423,3,3700000,Strata Terrace,15,Strata,Freehold,OCR
279,-,1,0122,3,2500000,Strata Terrace,05,Strata,Freehold,RCR
103,01-05,1,0922,3,1222000,Apartment,14,Strata,Freehold,RCR
982.1,-,1,1020,3,17000000,Detached,10,Land,Freehold,CCR
90,01-05,1,0523,3,1368888,Apartment,15,Strata,Freehold,RCR
103,01-05,1,1122,3,1500000,Condominium,05,Strata,Freehold,RCR
